TIME_PERIOD,REF_AREA,WBS,WBSu5
2009,CAN,8,2.7
2010,CAN,8,2.7
2011,CAN,8,2.8
2011,GBR,7.42,
2012,CAN,8,2.6
2012,GBR,7.46,
2013,AUT,7.8,4.421606287
2013,BEL,7.6,3.041056544
2013,CAN,8,3
2013,CHE,8.047416135,2.533808723
2013,CZE,6.879919981,9.287107736
2013,DEU,7.254308529,8.4
2013,DNK,8.01076821,4.93080318
2013,ESP,6.880582388,9.742361307
2013,EST,6.455133523,14.29795325
2013,FIN,8.045855989,2.388411388
2013,FRA,7.053188949,7.096582651
2013,GBR,7.51,
2013,GRC,6.160032393,19.8101759
2013,HUN,6.112791559,20.48981786
2013,IRL,7.439511348,7.925684005
2013,ISL,7.948924726,4.182625934
2013,ITA,6.7,10.56970432
2013,KOR,5.7,20.3
2013,LTU,6.729421375,12.53737956
2013,LUX,7.5,5.711389706
2013,LVA,6.468279476,12.92049885
2013,NLD,7.802276058,2.458803356
2013,NOR,7.885605387,3.657158837
2013,POL,7.315399715,6.981983781
2013,PRT,6.15374535,18.85388941
2013,SVK,6.951438398,10.92598513
2013,SVN,6.963050805,8.255084604
2013,SWE,7.907482289,3.372905776
2013,TUR,5.7,
2014,AUS,7.6,4.8
2014,CAN,8,2.8
2014,GBR,7.61,
2014,KOR,5.7,19.3
2014,NZL,7.8,4
2015,CAN,8.1,2.5
2015,GBR,7.65,
2015,KOR,5.8,17.4
2016,CAN,8.1,2.9
2016,GBR,7.68,
2016,KOR,5.9,15.8
2016,NZL,7.8,4
2017,CAN,8.1,2.8
2017,GBR,7.69,
2017,KOR,6,12.3
2018,AUT,8.002416295,2.833417244
2018,BEL,7.6,3.329404071
2018,CAN,8.1,2.5
2018,CHE,7.963366267,3.698993102
2018,COL,8.264852775,2.9
2018,CZE,7.4364578,5.756267905
2018,DEU,7.4,8.5
2018,DNK,7.761102039,7.907354832
2018,ESP,7.3,6.123775616
2018,EST,7.005767481,8.088671416
2018,FIN,8.122617853,1.942466013
2018,FRA,7.254388386,5.559172481
2018,GBR,7.71,
2018,GRC,6.437686333,12.72675544
2018,HUN,6.506271784,13.84689659
2018,IRL,8.1,3.946896472
2018,ISL,7.921507525,3.556504741
2018,ITA,7.074031061,7.983132452
2018,KOR,6.1,12.2
2018,LTU,6.382413262,17.87873656
2018,LUX,7.556332239,4.253131151
2018,LVA,6.737704476,10.11268869
2018,NLD,7.69552047,3.263406456
2018,NOR,7.980364431,3.890898079
2018,NZL,7.7,4.5
2018,POL,7.783058738,3.671402484
2018,PRT,6.689224889,12.61657029
2018,SVK,7.1,11.03098009
2018,SVN,7.310714199,6.050935015
2018,SWE,7.796566756,4.686484858
2018,TUR,5.7,
2019,AUS,7.5,2.7
2019,CAN,8.1,2.5
2019,GBR,7.66,4.72
2019,JPN,5.78,24.70611095
2020,AUS,7.2,3.7
2020,CAN,8,2.8
2020,GBR,7.39,6.13
2020,JPN,5.83,23.95379663
2021,AUT,8,3.462863341
2021,BEL,7.5,3.236109018
2021,CAN,7.9,2.8
2021,CZE,7.3,6.147288531
2021,DEU,7.2,9.655242413
2021,DNK,7.3,8.976695687
2021,ESP,7.2,7.455146313
2021,EST,7.2,6.807089597
2021,FIN,7.9,2.514689788
2021,FRA,6.8,8.99553448
2021,GBR,7.54,5.08
2021,GRC,6.8,11.23000011
2021,HUN,6.5,11.73693612
2021,IRL,7.3,6.600649655
2021,ISR,8.029399,4.64
2021,ITA,7.2,6.660684943
2021,JPN,5.74,25.58272831
2021,LTU,7,9.340655804
2021,LUX,7.4,5.776032433
2021,LVA,6.7,8.219178766
2021,MEX,8.448710997,2.958083947
2021,NLD,7.6,3.155307472
2021,NZL,7.7,4.8
2021,POL,7.5,
2021,PRT,7,8.661753684
2021,SVK,7.1,
2021,SVN,7.5,4.203914106
2021,SWE,7.5,5.224746466
